created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 20:50:45 +0000 2025,5,@rimapurwasih Perilaku korup dan menipu Jokowi salah satu yg paling fenomenal selain memalsukan ijazah adalah merekayasa aturan dan keputusan MK hingga fufufafa bisa jadi wapres. Ini skandal politik terburuk di Indonesia yg tdk boleh dilupakan dan jangan terjadi lagi. Harus diusut tuntas.,in,0,0,0
Tue Apr 29 20:29:10 +0000 2025,7,Banyak bukto2 baru berserak hasil temuan netizen yg luarbiasa tdk satu pun mendukung ijazah Jokowi Asli !!! semua bukti materirl ini bisa dijadikan alat bukti baru di Pengadilan bhw Ijazah Jokowi PALSU !!! #PeoplePowerAtauRevolusi #PeoplePowerAtauRevolusi #2025LengserkanGibran,in,0,0,4
Tue Apr 29 20:24:15 +0000 2025,4,@MasBRO_back @mujaaaulia29 BUKTIKAN IJAZAH JOKOWI ASLI SECARA TERBUKA https://t.co/3IlmaUoKqF,in,0,0,0
Tue Apr 29 20:24:06 +0000 2025,0,@Mosan178644 @xquitavee @alisyarief @jokowi Dua kelompok masing-masing 4 orang telah dilaporkan terkait hoax ijazah palsu Jokowi total 8 orang. Tidak ada info pasti soal kelompok lain yang akan dilaporkan; ini tergantung penyelidikan polisi. Kasus ini sesuai UU ITE 2023 yang menargetkan individu bukan pemerintah atas,in,0,0,0
Tue Apr 29 20:22:14 +0000 2025,1,@STresnowati1 @SianiparRismon @jokowi @UGMYogyakarta Kalau semua pihak ingin membuktikan sebuah kebenaran tidak ada yang sulit tinggal periksa ijazah asli yang ada pada pemiliknya,in,0,0,0
Tue Apr 29 20:20:46 +0000 2025,0,@PngAdilnR4kyt Karna secara tidak langsung PDIP juga terlibat dalam pelulusan ijazah palsu jokowi,in,0,0,0
Tue Apr 29 20:16:45 +0000 2025,2,BALADA IJAZAH PALSU JOKOWI HARUS DISELESAIKAN SAMPAI TUNTAS @prabowo APA KATA DUNIA NANTI @UN @ICC @OCCRP https://t.co/H2D2pkowSx,in,0,0,1
Tue Apr 29 20:04:08 +0000 2025,0,BALADA IJAZAH PALSU JOKOWI KACUNG TAK PUNYA IJAZAH BISA JADI PRESIDEN ke7 INDONESIA BUKTI SISTEM LEMAH ( OLIGARKI IKUT MENENTUKAN) KEMBALI SAJA KE UUD45 ASLI PRESIDEN DIPILIH WAKIL RAKYAT ( SIDANG MPR ) https://t.co/Yy1xevGoMk,in,0,0,0
Tue Apr 29 19:41:52 +0000 2025,5,@Gojekmilitan Kalau memang ijazah asli itu ada dan sengaja tidak diperlihatkan fix Jokowi itu JAHAT SEKALI. Karena sengaja membuat keributan dan perpecahan. Jelas ini sifat anti-negarawan.,in,0,0,1
Tue Apr 29 19:34:01 +0000 2025,0,@DianSandiU @ade206 Yang ngancam anda kemungkinan orang Jokowi sendiri krn anda sudah buat informasi Ijazah yg Jokowi pegang.. Setelah di analisa Palsu...,in,0,0,0
